UQFN48,WLCSP49,LQFP64,LQFP100,UFBGA176,LQFP144,Name,Type,IO,Alternate,Additional
0,0,0,0,J12,79,PD10,I/O,FT,USART3_CK/SPI3_SCK/I2S3_CK/SAI2_SD_B/FMC_D15/EVENTOUT,
0,0,0,0,J11,80,PD11,I/O,FT,USART3_CTS/SPI4_NSS/SAI2_SD_A/FMC_A16/EVENTOUT,
0,0,0,0,J10,81,PD12,I/O,FT,TIM4_CH1/SPI4_SCK/USART3_RTS/FMC_A17/EVENTOUT,
0,0,0,0,H12,82,PD13,I/O,FT,TIM4_CH2/SPI4_MISO/FMC_A18/EVENTOUT,
0,0,0,0,0,0,VSS,S,,,
0,0,0,0,0,0,VDD,S,,,
0,0,0,0,H11,85,PD14,I/O,FT,TIM4_CH3/SPI4_MOSI/FMC_D0/EVENTOUT,
0,0,0,0,H10,86,PD15,I/O,FT,TIM4_CH4/FMC_D1/EVENTOUT,
0,0,0,0,0,0,VDDUSB,S,,,
0,0,0,0,0,0,VSS,S,,,
0,0,0,0,0,93,PG8,I/O,FT,SPI5_NSS/I2S5_WS/SPDIF_RX2/SAI2_SCK_B/DSI_TE/EVENTOUT,
0,0,0,0,0,92,PG7,I/O,FT,SAI1_MCLK_A/QUADSPI_BK1_IO1/FMC_INT2/EVENTOUT,
0,0,0,0,0,91,PG6,I/O,FT,SAI1_SD_A/QUADSPI_BK1_IO0/FMC_INT3/EVENTOUT,
0,0,0,0,0,90,PG5,I/O,FT,SAI1_SCK_A/SPI1_MOSI/ETH_MII_RX_CLK/FMC_A15/EVENTOUT,
0,0,0,0,0,89,PG4,I/O,FT,SAI1_FS_A/SPI1_MISO/ETH_MII_RX_DV/FMC_A14/EVENTOUT,
0,0,0,0,0,88,PG3,I/O,FT,SAI1_SD_B/SPI1_SCK/ETH_MII_TX_CLK/FMC_A13/EVENTOUT,
0,0,0,0,0,87,PG2,I/O,FT,SAI1_MCLK_A/SPI1_NSS/ETH_MII_RX_DV/FMC_A12/EVENTOUT,
0,0,0,0,E12,96,PC6,I/O,FT,I2S2_MCK/SDIO_D6/USART6_TX/TIM3_CH1/SAI1_SD_B/DFSDM1_CKIN3/FMC_NBL0/EVENTOUT,
0,0,0,0,E11,97,PC7,I/O,FT,I2S3_MCK/SDIO_D7/USART6_RX/TIM3_CH2/SAI1_MCLK_A/DFSDM1_DATIN3/FMC_INT1/EVENTOUT,
0,0,0,0,E10,98,PC8,I/O,FT,SDIO_D0/TIM3_CH3/USART6_CK/TIM8_CH1N/TIM12_CH1/FMC_NBL1/EVENTOUT,
0,0,0,0,D12,99,PC9,I/O,FT,I2S_CKIN/MCO_2/SDIO_D1/I2C3_SDA/TIM3_CH4/TIM8_CH2N/EVENTOUT,
0,0,0,0,D11,100,PA8,I/O,FT,MCO+1/USART1_CK/TIM1_CH1/TIM8_BKIN/I2C3_SCL/OTG_FS_SOF/LCD_B3/LCD_R6/EVENTOUT,
0,0,0,0,D10,101,PA9,I/O,FT,USART1_TX/TIM1_CH2/TIM8_CH1N/I2C3_SMBA/SPI2_SCK/I2S2_CK/OTG_FS_VBUS/LCD_R5/DCMI_D0/EVENTOUT,
0,0,0,0,C12,102,PA10,I/O,FT,USART1_RX/TIM1_CH3/TIM8_CH2N/OTG_FS_ID/LCD_B4/DCMI_D1/EVENTOUT,
0,0,0,0,B12,103,PA11,I/O,FT,USART1_CTS/USART6_TX/TIM1_CH4/TIM8_CH3N/SPI4_NSS/OTG_FS_DM/LCD_R4/DCMI_D2/EVENTOUT,
0,0,0,0,A12,104,PA12,I/O,FT,USART1_RTS/USART6_RX/TIM1_ETR/TIM8_CH4/SPI4_SCK/OTG_FS_DP/LCD_R5/DCMI_D3/EVENTOUT,
0,0,0,0,A11,105,PA13(JTMS-SWDIO),I/O,FT,JTMS-SWDIO/EVENTOUT,
0,0,0,0,C11,106,VCAP_2,S,,,
0,0,0,0,F11,107,VSS,S,,,
0,0,0,0,G11,0,VDD,S,,,
0,0,0,0,0,108,VDD,S,,,
0,0,0,0,A10,109,PA14(JTCK-SWCLK),I/O,FT,JTCK-SWCLK/EVENTOUT,
0,0,0,0,A9,110,PA15(JTDI),I/O,FT,JTDI/SPI3_NSS/I2S3_WS/TIM2_CH1/TIM2_ETR/SPI1_NSS/EVENTOUT,
0,0,0,0,B11,111,PC10,I/O,FT,SPI3_SCK/I2S3_CK/SDIO_D2/UART4_TX/DCMI_D8/EVENTOUT,
0,0,0,0,C10,112,PC11,I/O,FT,SPI3_MISO/SDIO_D3/I2S3ext_SD/UART4_RX/DCMI_D4/EVENTOUT,
0,0,0,0,B10,113,PC12,I/O,FT,SDIO_CK/SPI3_MOSI/I2S3_SD/UART5_TX/DCMI_D9/EVENTOUT,
0,0,0,0,C9,114,PD0,I/O,FT,SPI4_MISO/FMC_D2/EVENTOUT,
